num_episode,loss,td_error,reward_avg
1,0.27992273166775705,0.37051149129867555,-0.74
2,0.1108233904093504,0.19978419780731202,-0.53
3,0.14869156485190616,0.18904749557375908,-0.93
4,0.2833620349364355,0.237045484110713,-1.0
5,0.3922343540284783,0.2660667912662029,-0.96
6,0.5196413321048021,0.31034789435565474,-0.94
7,0.9275449371524155,0.38465995378792284,-0.56
8,1.0536925236880779,0.43052807487547395,-0.54
9,1.1377049488946795,0.46607568457722665,-0.19
10,1.6784089312329888,0.5444157315045595,0.15
11,1.984658781848848,0.580400039255619,0.44
12,2.399109026044607,0.6458744913339615,0.59
13,2.583192509189248,0.6667059953510761,0.6
14,2.5027302353829146,0.6799224738776684,-0.96
15,2.6640468718111516,0.7526800972223282,-0.93
16,3.290910370498896,0.7949361751973629,-0.48
17,3.022742178142071,0.7928422105312347,-0.59
18,3.478718361109495,0.820616592168808,0.43
19,3.3759111967682838,0.8018037563562393,0.8
20,3.853470491617918,0.8621118052303791,0.79
21,3.355489628762007,0.7959801974892616,0.58
22,4.037865928560495,0.8584501436352729,-0.18
23,4.858460587710142,0.9082183693349362,0.61
24,4.446211151778698,0.8934326381981372,0.63
